"";"Target.Name";"Date.Announced"
"1";"Aaryn's Chocolate Inc";"1997-07-18"
"2";"Aaryn's Chocolate Inc";"1997-08-20"
"3";"Aaryn's Chocolate Inc";"1997-08-21"
"4";"Abigail's Jewelry Inc";"2009-05-15"
"5";"Abigail's Jewelry Inc";"2009-05-31"
"6";"Abigail's Jewelry Inc";"2009-06-15"
"7";"Abigail's Jewelry Inc";"2009-06-16"
"8";"Abigail's Jewelry Inc";"2009-07-28"
"9";"Adina's Grapes Inc";"2008-12-14"
"10";"Adina's Grapes Inc";"2009-01-14"
"11";"Adina's Grapes Inc";"2009-02-06"
"12";"Adina's Grapes Inc";"2009-02-22"
"13";"Adina's Grapes Inc";"2009-02-27"
"14";"Adrian's Beer Inc";"1995-05-06"
"15";"Adrian's Beer Inc";"1995-05-27"
"16";"Aja'Dea's IceCream Inc";"1996-03-18"
"17";"Aja'Dea's IceCream Inc";"1996-06-02"
"18";"Aja'Dea's IceCream Inc";"1996-06-06"
"19";"Alejandro's Pub Inc";"1989-08-23"
"20";"Alejandro's Pub Inc";"1989-10-01"
"21";"Alex's Burger Inc";"1994-02-24"
"22";"Alexander's Superfood Inc";"1980-05-24"
"23";"Alexander's Superfood Inc";"1980-06-07"
"24";"Alexander's Superfood Inc";"1980-06-14"
"25";"Alexander's Superfood Inc";"1980-06-27"
"26";"Alexander's Superfood Inc";"1980-07-11"
"27";"Alexander's Superfood Inc";"1980-07-14"
"28";"Alexander's Superfood Inc";"1980-08-17"
"29";"Alexis' Chocolate Inc";"2007-02-24"
"30";"Alexis' Chocolate Inc";"2007-05-14"
"31";"Alexus' Superfood Inc";"2000-09-01"
"32";"Alexus' Superfood Inc";"2000-11-19"
"33";"Alfredo's Merchandise Inc";"1987-04-11"
"34";"Alfredo's Merchandise Inc";"1987-05-24"
"35";"Alfredo's Merchandise Inc";"1987-06-05"
"36";"Alfredo's Merchandise Inc";"1987-06-06"
"37";"Alfredo's Merchandise Inc";"1987-06-14"
"38";"Alfredo's Merchandise Inc";"1987-06-17"
"39";"Alfredo's Merchandise Inc";"1987-07-10"
"40";"Alison's Burger Inc";"1985-02-18"
"41";"Alison's Burger Inc";"1985-03-06"
"42";"Alison's Burger Inc";"1985-04-24"
"43";"Allison's Beer Inc";"1982-06-15"
"44";"Allison's Beer Inc";"1982-06-18"
"45";"Allison's Beer Inc";"1982-07-12"
"46";"Allison's Beer Inc";"1982-08-21"
"47";"Alysha's Bananas Inc";"1980-10-12"
"48";"Alysha's Bananas Inc";"1980-11-02"
"49";"Alyssa's Electronics Inc";"1989-03-28"
"50";"Alyssa's Electronics Inc";"1989-04-17"
"51";"Alyssa's Electronics Inc";"1989-04-17"
"52";"Alyssa's Electronics Inc";"1989-05-12"
"53";"Alyssa's Electronics Inc";"1989-05-16"
"54";"Amanda Lynn's Merchandise Inc";"2004-10-09"
"55";"Aminah's Jewelry Inc";"2002-01-26"
"56";"Aminah's Jewelry Inc";"2002-02-07"
"57";"Aminah's Jewelry Inc";"2002-02-18"
"58";"Amy's Bananas Inc";"1986-03-14"
"59";"Amy's Bananas Inc";"1986-04-02"
"60";"Amy's Bananas Inc";"1986-04-08"
"61";"Amy's Bananas Inc";"1986-04-10"
"62";"Ana's Grapes Inc";"1999-07-22"
"63";"Ana's Grapes Inc";"1999-08-14"
"64";"Ana's Grapes Inc";"1999-08-25"
"65";"Ana's Grapes Inc";"1999-09-24"
"66";"Ana's Grapes Inc";"1999-10-05"
"67";"Anders' Superfood Inc";"2003-01-16"
"68";"Anders' Superfood Inc";"2003-01-17"
"69";"Andrea's Hamsters Inc";"2000-05-15"
"70";"Andrea's Hamsters Inc";"2000-05-25"
"71";"Andrea's Hamsters Inc";"2000-05-29"
"72";"Andrea's Hamsters Inc";"2000-06-09"
"73";"Andrea's Hamsters Inc";"2000-06-12"
"74";"Andrea's Hamsters Inc";"2000-06-22"
"75";"Andrea's Hamsters Inc";"2000-06-26"
"76";"Andrea's Hamsters Inc";"2000-06-28"
"77";"Andrea's Hamsters Inc";"2000-07-17"
"78";"Andrea's Hamsters Inc";"2000-07-18"
"79";"Andrea's Hamsters Inc";"2000-07-18"
"80";"Andrew's Chocolate Inc";"1985-08-15"
"81";"Andrew's Chocolate Inc";"1985-09-02"
"82";"Andrew's Chocolate Inc";"1985-10-30"
"83";"Andrew's Chocolate Inc";"1985-11-02"
"84";"Angela's Beer Inc";"1981-06-02"
"85";"Angelica's Grapes Inc";"1985-12-24"
"86";"Angelica's Grapes Inc";"1986-01-07"
"87";"Angelica's Grapes Inc";"1986-02-01"
"88";"Angelica's Grapes Inc";"1986-02-01"
"89";"Angelica's Grapes Inc";"1986-03-21"
"90";"Angelique's Burger Inc";"1993-03-16"
"91";"Angelique's Burger Inc";"1993-03-29"
"92";"Angelique's Burger Inc";"1993-05-08"
"93";"Aniyah's Computers Inc";"2006-05-09"
"94";"Aniyah's Computers Inc";"2006-05-17"
"95";"Aniyah's Computers Inc";"2006-07-10"
"96";"Aniyah's Computers Inc";"2006-07-27"
"97";"Aniyah's Computers Inc";"2006-08-04"
"98";"Anthony's Pub Inc";"1992-06-21"
"99";"Anthony's Pub Inc";"1992-07-21"
"100";"Anthony's Pub Inc";"1992-07-25"
"101";"Anthony's Pub Inc";"1992-08-06"
"102";"Anthony's Pub Inc";"1992-08-08"
"103";"Anthony's Pub Inc";"1992-08-21"
"104";"Anthony's Pub Inc";"1992-08-22"
"105";"Anthony's Pub Inc";"1992-09-03"
"106";"Anthony's Pub Inc";"1992-09-04"
"107";"Anthony's Pub Inc";"1992-09-09"
"108";"April's Candy Inc";"2009-06-11"
"109";"April's Candy Inc";"2009-06-16"
"110";"April's Candy Inc";"2009-07-15"
"111";"April's Candy Inc";"2009-07-26"
"112";"Ariel's Melons Inc";"1986-11-11"
"113";"Ariel's Melons Inc";"1986-12-19"
"114";"Ariel's Melons Inc";"1987-01-15"
"115";"Ariel's Melons Inc";"1987-01-30"
"116";"Arleth's Reptiles Inc";"1980-12-25"
"117";"Arleth's Reptiles Inc";"1981-03-11"
"118";"August's Bananas Inc";"1987-04-14"
"119";"August's Bananas Inc";"1987-06-23"
"120";"August's Bananas Inc";"1987-07-05"
"121";"August's Bananas Inc";"1987-07-12"
"122";"Austin's Juice Inc";"1994-09-17"
"123";"Austin's Juice Inc";"1994-10-29"
"124";"Austin's Juice Inc";"1994-11-08"
"125";"Austin's Juice Inc";"1994-11-10"
"126";"Austin's Juice Inc";"1994-12-01"
"127";"Autumn's Beer Inc";"1980-07-17"
"128";"Autumn's Beer Inc";"1980-10-07"
"129";"Bailee's Chocolate Inc";"1996-07-21"
"130";"Bailee's Chocolate Inc";"1996-09-29"
"131";"Berenice's Copyshop Inc";"1988-03-04"
"132";"Berenice's Copyshop Inc";"1988-05-01"
"133";"Blaise's Candy Inc";"1981-06-12"
"134";"Blaise's Candy Inc";"1981-08-24"
"135";"Blanca's Beer Inc";"2006-03-12"
"136";"Blanca's Beer Inc";"2006-04-25"
"137";"Blanca's Beer Inc";"2006-05-17"
"138";"Blanca's Beer Inc";"2006-06-06"
"139";"Bogdan's Pub Inc";"1986-10-28"
"140";"Bogdan's Pub Inc";"1986-11-25"
"141";"Bogdan's Pub Inc";"1986-11-26"
"142";"Bogdan's Pub Inc";"1986-12-12"
"143";"Bogdan's Pub Inc";"1986-12-17"
"144";"Bogdan's Pub Inc";"1986-12-19"
"145";"Bogdan's Pub Inc";"1987-01-02"
"146";"Brandon's Melons Inc";"2005-06-25"
"147";"Brandon's Melons Inc";"2005-08-13"
"148";"Brandon's Melons Inc";"2005-08-22"
"149";"Brandon's Melons Inc";"2005-08-25"
"150";"Brandon's Melons Inc";"2005-09-12"
"151";"Brandon's Melons Inc";"2005-09-15"
"152";"Brandon's Melons Inc";"2005-09-18"
"153";"Brandon's Melons Inc";"2005-09-23"
"154";"Braxton's Bananas Inc";"2010-05-15"
"155";"Braxton's Bananas Inc";"2010-05-17"
"156";"Braxton's Bananas Inc";"2010-05-24"
"157";"Braxton's Bananas Inc";"2010-05-27"
"158";"Braxton's Bananas Inc";"2010-06-03"
"159";"Braxton's Bananas Inc";"2010-07-07"
"160";"Braxton's Bananas Inc";"2010-07-09"
"161";"Breanna's Pub Inc";"1996-02-15"
"162";"Breanna's Pub Inc";"1996-05-07"
"163";"Brenda's Computers Inc";"1986-08-27"
"164";"Brenda's Computers Inc";"1986-09-28"
"165";"Brenda's Computers Inc";"1986-10-18"
"166";"Brenda's Computers Inc";"1986-11-04"
"167";"Brittany's Reptiles Inc";"1985-07-21"
"168";"Brittany's Reptiles Inc";"1985-07-21"
"169";"Brittany's Reptiles Inc";"1985-07-26"
"170";"Brittany's Reptiles Inc";"1985-08-08"
"171";"Brittany's Reptiles Inc";"1985-09-18"
"172";"Brittany's Reptiles Inc";"1985-09-19"
"173";"Brittany's Reptiles Inc";"1985-10-04"
"174";"Brittany's Reptiles Inc";"1985-10-05"
"175";"Brittany's Reptiles Inc";"1985-10-07"
"176";"Brittney's Electronics Inc";"2008-04-22"
"177";"Brittney's Electronics Inc";"2008-05-05"
"178";"Brooklynn Lee's Burger Inc";"2000-02-28"
"179";"Brooklynn Lee's Burger Inc";"2000-03-15"
"180";"Brooklynn Lee's Burger Inc";"2000-03-26"
"181";"Brynelle's IceCream Inc";"1995-02-07"
"182";"Brynelle's IceCream Inc";"1995-04-11"
"183";"Caitlin's Pub Inc";"2004-08-03"
"184";"Caitlin's Pub Inc";"2004-08-03"
"185";"Caitlin's Pub Inc";"2004-09-15"
"186";"Caitlin's Pub Inc";"2004-10-24"
"187";"Casey's Beer Inc";"2002-06-28"
"188";"Casey's Beer Inc";"2002-07-06"
"189";"Casey's Beer Inc";"2002-07-17"
"190";"Caylee's Coconuts Inc";"2004-04-19"
"191";"Caylee's Coconuts Inc";"2004-05-15"
"192";"Cheyne's Juice Inc";"2001-11-28"
"193";"Christian's Burger Inc";"1989-09-16"
"194";"Christian's Burger Inc";"1989-09-17"
"195";"Christian's Burger Inc";"1989-09-27"
"196";"Corey's IceCream Inc";"2001-08-12"
"197";"Corey's IceCream Inc";"2001-09-18"
"198";"Crystal's Electronics Inc";"1986-04-25"
"199";"Crystal's Electronics Inc";"1986-06-27"
"200";"Crystal's Electronics Inc";"1986-07-01"
"201";"Da Som's Chocolate Inc";"1991-05-09"
"202";"Da Som's Chocolate Inc";"1991-07-22"
"203";"Damien's Coconuts Inc";"1994-12-16"
"204";"Damien's Coconuts Inc";"1995-03-09"
"205";"Damytryace's Juice Inc";"2007-07-27"
"206";"Damytryace's Juice Inc";"2007-09-12"
"207";"Damytryace's Juice Inc";"2007-09-16"
"208";"Damytryace's Juice Inc";"2007-10-09"
"209";"Damytryace's Juice Inc";"2007-10-18"
"210";"Daniel's Coconuts Inc";"1992-12-24"
"211";"Daniel's Coconuts Inc";"1993-02-13"
"212";"Daniel's Coconuts Inc";"1993-03-24"
"213";"Dante's Chocolate Inc";"2008-07-11"
"214";"Dante's Chocolate Inc";"2008-07-24"
"215";"Dante's Chocolate Inc";"2008-09-15"
"216";"Dante's Chocolate Inc";"2008-09-23"
"217";"Dante's Chocolate Inc";"2008-09-27"
"218";"Dante's Chocolate Inc";"2008-10-02"
"219";"Daxx's Hamsters Inc";"2001-11-14"
"220";"Daxx's Hamsters Inc";"2001-11-25"
"221";"Daxx's Hamsters Inc";"2001-11-26"
"222";"Daxx's Hamsters Inc";"2001-11-27"
"223";"Daxx's Hamsters Inc";"2001-12-04"
"224";"Daxx's Hamsters Inc";"2001-12-12"
"225";"Daxx's Hamsters Inc";"2002-01-30"
"226";"Daxx's Hamsters Inc";"2002-02-08"
"227";"Daxx's Hamsters Inc";"2002-02-11"
"228";"Dayquan's IceCream Inc";"1985-08-22"
"229";"Dayquan's IceCream Inc";"1985-10-05"
"230";"Dayquan's IceCream Inc";"1985-11-04"
"231";"Deekshitha's IceCream Inc";"2000-06-18"
"232";"Deekshitha's IceCream Inc";"2000-07-10"
"233";"Deeplata's Juice Inc";"2003-08-13"
"234";"Deeplata's Juice Inc";"2003-10-05"
"235";"Desean's Juice Inc";"1999-04-22"
"236";"Desean's Juice Inc";"1999-05-12"
"237";"Desean's Juice Inc";"1999-05-27"
"238";"Desean's Juice Inc";"1999-06-10"
"239";"Desean's Juice Inc";"1999-07-14"
"240";"Desean's Juice Inc";"1999-07-19"
"241";"Deshawn's Burger Inc";"1995-01-18"
"242";"Deshawn's Burger Inc";"1995-03-27"
"243";"Devante's Chocolate Inc";"1989-10-11"
"244";"Devante's Chocolate Inc";"1989-10-22"
"245";"Devante's Chocolate Inc";"1989-10-27"
"246";"Devante's Chocolate Inc";"1990-01-05"
"247";"Devin's Beer Inc";"2008-03-09"
"248";"Devin's Beer Inc";"2008-04-03"
"249";"Dimetrius' Electronics Inc";"1987-09-08"
"250";"Dimetrius' Electronics Inc";"1987-09-11"
"251";"Dimetrius' Electronics Inc";"1987-09-13"
"252";"Dimetrius' Electronics Inc";"1987-12-01"
"253";"Dominic's Merchandise Inc";"2003-12-24"
"254";"Dominic's Merchandise Inc";"2004-01-02"
"255";"Dominic's Merchandise Inc";"2004-01-28"
"256";"Dominic's Merchandise Inc";"2004-01-28"
"257";"Dominique's Merchandise Inc";"1983-02-02"
"258";"Dominique's Merchandise Inc";"1983-02-16"
"259";"Dominique's Merchandise Inc";"1983-02-23"
"260";"Dominique's Merchandise Inc";"1983-02-27"
"261";"Dominique's Merchandise Inc";"1983-03-05"
"262";"Dominique's Merchandise Inc";"1983-04-03"
"263";"Dominique's Merchandise Inc";"1983-04-24"
"264";"Dong-Keun's Pub Inc";"1998-06-06"
"265";"Dong-Keun's Pub Inc";"1998-07-05"
"266";"Dong-Keun's Pub Inc";"1998-07-31"
"267";"Dong-Keun's Pub Inc";"1998-08-27"
"268";"Dong-Keun's Pub Inc";"1998-08-29"
"269";"Dylon's Grapes Inc";"2004-02-12"
"270";"Edward's Beer Inc";"1999-08-03"
"271";"Edward's Beer Inc";"1999-08-19"
"272";"Edward's Beer Inc";"1999-08-20"
"273";"Edward's Beer Inc";"1999-08-25"
"274";"Edward's Beer Inc";"1999-10-12"
"275";"Edward's Beer Inc";"1999-10-12"
"276";"Edward's Beer Inc";"1999-10-26"
"277";"Emily's Computers Inc";"1986-07-15"
"278";"Emily's Computers Inc";"1986-09-18"
"279";"Eric's IceCream Inc";"2006-05-03"
"280";"Eric's IceCream Inc";"2006-05-04"
"281";"Eric's IceCream Inc";"2006-06-21"
